id;data_montagem;marcador;sequencia;data;status
1;2021-02-17;Car;Tennessee;2021-02-17;1
2;2021-02-17;synthesize Concrete;Soft PCI;2021-02-17;0
3;2021-02-17;Enterprise-wide;Fantastic one-to-one Shirt;2021-02-17;0
4;2021-02-17;invoice;Money Market Account Developer synergize;2021-02-17;1
5;2021-02-17;Bedfordshire hack;Human;2021-02-17;0
6;2021-02-17;Mauritius Rupee adapter Checking Account;input Configurable hack;2021-02-17;1
7;2021-02-17;Chips;Manager connect hacking;2021-02-17;1
8;2021-02-17;back-end groupware;Bermuda fresh-thinking;2021-02-17;1
9;2021-02-17;transitional ROI;Massachusetts;2021-02-17;0
10;2021-02-17;payment parse Granite;connect interactive;2021-02-17;0
