id;collector;collection_date;country_ocean;state_province;region;sector;exact_site;identif;latitude;longitude;elevation;depth;elevation_precision;depth_precision;gps_source;coordinate_accuracy;event_time;collection_date_occuracy;habitat;sampling_protocol;collection_notes;site_code;collection_event_id
1;blue Handcrafted;2021-02-17;strategy Central Alaska;Libyan Arab Jamahiriya Industrial schemas;Gloves;bricks-and-clicks Bond Markets Units European Composite Unit (EURCO) South Carolina;Home;interface;withdrawal Guatemala teal;navigate Tasty Cotton Shoes e-services;Steel;white;24 hour Gorgeous Concrete Towels;hack Bike;policy back-end technologies;CFA Franc BCEAO;overriding parse Soft;virtual auxiliary teal;back up Salad Configuration;alarm;Digitized;Supervisor Grocery Avon;Industrial Small synthesizing
2;Fundamental Computers Metrics;2021-02-17;Pizza Investment Account;Manager;redundant Alabama Customer;Branding Licensed Granite Shirt EXE;parse;transmitter turquoise markets;wireless;workforce Usability Incredible Rubber Pants;Pine index needs-based;International Games Granite;Investment Account Technician;facilitate;Administrator B2B Fantastic;Legacy;next-generation;web services Gardens;user-facing;Table;1080p;Radial Configuration mobile;Chair
3;Liechtenstein synthesizing invoice;2021-02-17;ROI indigo;action-items Tools Grocery;Bedfordshire Tactics distributed;coherent;Ergonomic;Balboa US Dollar Streamlined;platforms;Unbranded Plastic Ball support lavender;Bulgaria digital;Licensed synthesizing;invoice;Utah Jewelery;incubate;Bike whiteboard upward-trending;Tasty;Unbranded Concrete Fish content;Optimization Incredible;panel Alabama Direct;Industrial Oklahoma GB;Refined Concrete Towels;Handcrafted Metal Car
4;haptic front-end parallelism;2021-02-17;system Fantastic Cotton Chicken;Unbranded online;distributed Bacon;Grocery 24/365;Berkshire grey innovate;Strategist Legacy Tactics;Bedfordshire deploy Spring;Alaska Checking Account Research;Implemented black Rustic;Specialist input sensor;deploy Producer firewall;Frozen New Hampshire;Belize;Mission Wall Mouse;Associate Chair Kentucky;Awesome;brand Armenia revolutionize;Fantastic Granite Cheese killer Mississippi;extensible;Factors Dynamic Intelligent;Fish plum
5;Bouvet Island (Bouvetoya) overriding Sports;2021-02-17;Plain multi-tasking Granite;Handcrafted Steel Cheese;Surinam Dollar black Cambridgeshire;Orchestrator input Illinois;Visionary;reintermediate Awesome;deliverables deposit;Handmade Fresh Towels action-items;Sausages Italy;Berkshire Cambridgeshire;Central invoice Refined;Greens;Metal;Generic Metal Cheese;Proactive;Direct array;synthesizing;Planner Credit Card Account executive;Dynamic yellow;Analyst Automotive;Borders firewall
6;Industrial Slovakia (Slovak Republic) Hong Kong;2021-02-18;model protocol deposit;distributed;Delaware;Georgia;Alabama viral Plastic;Product Home Loan Account;Executive;Berkshire systems initiatives;turn-key;Investment Account deliverables;overriding;Center;Kenyan Shilling Computer;schemas pink Cheese;Compatible Vision-oriented;magnetic Polarised;online Cambridgeshire Applications;Checking Account Tasty Dynamic;AI;parse programming Handcrafted;Checking Account
7;Rustic Congolese Franc;2021-02-17;Savings Account deposit expedite;Enhanced revolutionary;Western Sahara SMS;dynamic;Avon;Personal Loan Account Plaza;Denmark implement Rubber;Plastic Cambridgeshire panel;iterate;Movies;Legacy;Personal Loan Account Gorgeous Cotton Keyboard reciprocal;overriding;panel synthesizing;Indiana next-generation copying;Ergonomic Borders;indigo Grocery SMTP;orange Data Georgia;RAM Mobility withdrawal;Bacon;Handmade Awesome Metal Sausages interface
8;TCP AI;2021-02-17;Bedfordshire withdrawal Refined Metal Pants;French Guiana Total Dynamic;Administrator;Generic Steel Shoes Russian Federation;connect;granular violet hacking;Small;Inlet Tools;orange hack;bypassing calculating Web;Granite;Coordinator visionary Georgia;Shoes;Savings Account Architect value-added;Georgia;Auto Loan Account motivating Buckinghamshire;Infrastructure Direct;implement North Carolina Designer;protocol backing up;backing up TCP;generating
9;revolutionize;2021-02-17;deliver Steel Buckinghamshire;matrix innovate Mouse;Regional;Handmade Bedfordshire SDD;Investment Account;Arkansas;Kids Handcrafted Metal Shirt Investment Account;Internal bypass Poland;Gorgeous Frozen Chair coherent;deposit;Handmade Metal Computer;Toys online;Principal Checking Account;system Berkshire;gold;back-end;unleash Devolved maximized;calculating;quantifying Saint Kitts and Nevis transmitter;Reverse-engineered Soft;Pound Sterling
10;Quetzal Rufiyaa;2021-02-17;bypass withdrawal;overriding;Organic generate;Clothing Falls firewall;Direct communities;function capacitor Shoes;maroon;Belarussian Ruble Clothing Incredible;California;Heights;viral Moroccan Dirham;Movies;Specialist Borders quantifying;Grocery withdrawal;architectures multi-byte Avon;cross-platform Officer mission-critical;Planner;Square enhance Kids;Soft SMTP mobile;deposit Home Loan Account Toys;Shoes Connecticut Virginia
